
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    127.0.0.1:55885        127.0.0.1:55885                        4800
  UDP    127.0.0.1:61567        *:*                                    8216
  UDP    192.168.1.8:137        *:*                                    4
  UDP    192.168.1.8:138        *:*                                    4
  UDP    192.168.1.8:1900       *:*                                    8216
  UDP    192.168.1.8:2177       *:*                                    4368
  UDP    192.168.1.8:5353       *:*                                    4756
  UDP    192.168.1.8:27036      *:*                                    13560
  UDP    192.168.1.8:61565      *:*                                    8216
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    8216
  UDP    192.168.56.1:2177      *:*                                    4368
  UDP    192.168.56.1:5353      *:*                                    4756
  UDP    192.168.56.1:61566     *:*                                    8216
  UDP    [::]:123               *:*                                    12524
  UDP    [::]:500               *:*                                    4792
  UDP    [::]:3702              *:*                                    9660
  UDP    [::]:3702              *:*                                    7892
  UDP    [::]:3702              *:*                                    7892
  UDP    [::]:3702              *:*                                    9660
  UDP    [::]:4500              *:*                                    4792
  UDP    [::]:5353              *:*                                    3052
  UDP    [::]:5353              *:*                                    21100
  UDP    [::]:5353              *:*                                    11392
  UDP    [::]:5353              *:*                                    11392
  UDP    [::]:5353              *:*                                    13516
  UDP    [::]:5353              *:*                                    9420
  UDP    [::]:5353              *:*                                    21100
  UDP    [::]:5353              *:*                                    13516
  UDP    [::]:5353              *:*                                    9420
  UDP    [::]:5355              *:*                                    3052
  UDP    [::]:52884             *:*                                    7892
  UDP    [::]:58353             *:*                                    4756
  UDP    [::]:61201             [2407:7000:cdcd:a::10]:443                  13516
  UDP    [::]:61598             *:*                                    3052
  UDP    [::]:61706             [2a06:98c1:310b::ac40:9bd1]:443                  13516
  UDP    [::]:64229             [2404:6800:4006:802::200e]:443                  13516
  UDP    [::]:65264             *:*                                    9660
  UDP    [::1]:1900             *:*                                    8216
  UDP    [::1]:5353             *:*                                    4756
  UDP    [::1]:61564            *:*                                    8216
  UDP    [2407:7000:ab66:cb00:1198:ce9c:ff37:94e5]:2177  *:*                                    4368
  UDP    [2407:7000:ab66:cb00:4581:f3e:d633:2fbc]:2177  *:*                                    4368
  UDP    [2407:7000:ab66:cb00:cb7b:6cda:636d:fc64]:2177  *:*                                    4368
  UDP    [fe80::7f04:f549:84a6:1701%17]:1900  *:*                                    8216
  UDP    [fe80::7f04:f549:84a6:1701%17]:2177  *:*                                    4368
  UDP    [fe80::7f04:f549:84a6:1701%17]:61563  *:*                                    8216
  UDP    [fe80::afd8:9e2b:ddbd:8f77%3]:1900  *:*                                    8216
  UDP    [fe80::afd8:9e2b:ddbd:8f77%3]:2177  *:*                                    4368
  UDP    [fe80::afd8:9e2b:ddbd:8f77%3]:61562  *:*                                    8216
